id,date,elevation_m_asl,site_id,aspect,species,plant_id,fire,aboveground_biomass_g,traits,value
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,root_depth_cm,16
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,no_root_scan,5
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,total_root_wet_mass_g,0.0527
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,total_root_dry_mass_g,0.0183
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,total_root_length_mm,1185.77074
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,total_root_volume_mm3,96.305368
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,rd_mm,0.291187
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,bi_branches_mm,0.45034
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,srl_m_g,64.79621530054645
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,rtd_g_cm3,0.19002056043231152
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,rdmc_mg_g,347.24857685009493
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,no_tuber_scan,NA
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,total_tuber_wet_mass_g,NA
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,total_tuber_dry_mass_g,NA
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,reproductive_height_cm,32.8
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,veg_height_cm,15
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,no_leaf,5
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,0.5919,total_leaf_wet_mass_g,0.193
