SCAN FILE,SITE,TRANSECT,SLOPE, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,0.1,0.05,3,676
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,0.35,0.06,1.1,238
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,0.52,0.07,3.2,454
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,0.75,0.06,2.7,489
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,0.84,0.02,13.2,2715
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,0.95,0.04,3.3,742
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,1.05,0.08,1.2,305
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,1.19,0.07,1.9,598
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,1.32,0.11,1.2,418
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,1.46,0.06,3.6,661
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,1.55,0.03,20,390
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,1.58,0.09,1.3,293
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,1.72,0.12,1.7,1292
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,1.89,0.07,2,491
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,1.92,0.15,1,146
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,2.06,0.11,1.5,373
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,2.13,0.16,1.1,392
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,2.18,0.09,2.9,495
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,2.23,0.16,0.9,119
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,2.24,0.09,1.4,205
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,2.25,0.04,2.6,660
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,2.35,0.09,3.9,1025
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,2.61,0.03,29.9,1703
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,2.7,0.15,0.9,175
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,2.78,0.04,5,1224
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,2.86,0.11,1.2,904
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,2.96,0.05,3.4,704
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,3.02,0.12,1.6,436
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,3.08,0.06,1.5,547
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,3.16,0.13,1.2,308
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,3.31,0.08,1.9,747
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,3.38,0.13,1.8,371
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,3.62,0.09,3.3,2227
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,3.72,0.01,21.7,1481
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,3.76,0.08,3,890
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,3.78,0.15,1.4,389
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,3.95,0.06,4.7,1289
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,4.15,0.03,30.5,1733
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,4.33,0.05,2.2,432
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,4.42,0.09,1.4,450
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,4.48,0.06,2.5,481
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,4.68,0.05,1.9,359
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,4.74,0.1,1.4,586
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,5.07,0.09,1.1,190
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,5.26,0.1,2.7,1248
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,5.3,0.05,2.7,1888
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,5.49,0.05,3.8,372
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,5.71,0.1,1.1,379
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,5.94,0.06,2.8,441
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,6.29,0.1,1.4,317
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,6.42,0.17,0.8,106
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,6.53,0.08,1.9,1063
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,6.75,0.08,2.3,923
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,6.9,0.08,2.2,752
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,6.96,0.12,1.2,270
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,7.02,0.07,1.1,188
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,7.08,0.14,1.1,165
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,7.26,0.07,2.3,1058
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,7.33,0.11,1.1,395
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,7.61,0.07,0.9,155
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,7.79,0.06,2.7,1243
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,7.8,0.13,1.1,194
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,8.02,0.11,1.4,132
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,8.08,0.16,0.9,127
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,8.13,0.13,1,173
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,8.18,0.05,12.8,1416
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,8.26,0.04,1.3,111
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,8.38,0.1,1.2,237
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,8.49,0.09,2.3,576
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,8.59,0.03,12.1,1202
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,8.67,0.05,3.2,344
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,8.78,0.08,2,346
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,8.89,0.06,1.9,573
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,9.11,0.05,8.6,1764
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,9.2,0.11,1.8,670
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,9.31,0.13,1.2,317
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,9.39,0.11,2.1,883
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,9.68,0.08,2.1,933
