date,elevation_m_asl,site_id,aspect,scan_file,type,position_m,depth_m,amplitude_dB,pixel_count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,0.01,0.02,21.3,186
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,0.07,0.08,1.8,318
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,0.13,0.11,1.3,273
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,0.16,0.05,2.6,572
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,0.37,0.05,2.3,506
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,0.5,0.04,17.9,2257
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,0.59,0.11,1.6,653
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,0.68,0.05,2.2,348
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,0.77,0.09,1.8,427
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,0.79,0.03,1.7,157
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,0.91,0.06,3.0,1321
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,1.44,0.11,2.4,1172
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,1.61,0.13,1.1,220
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,1.86,0.07,4.7,1744
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,2.12,0.05,5.4,1065
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,2.35,0.07,4.4,733
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,2.51,0.11,1.3,184
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,2.7,0.03,10.4,1662
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,2.88,0.06,5.1,1639
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,3.21,0.07,2.7,1106
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,3.38,0.08,1.8,589
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,3.61,0.08,6.3,1268
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,4.12,0.08,1.7,900
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,4.88,0.06,2.6,661
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,DETECT,5.15,0.12,1.0,187
