SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 0.01, 0.02, 21.3, 186
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 0.07, 0.08, 1.8, 318
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 0.13, 0.11, 1.3, 273
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 0.16, 0.05, 2.6, 572
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 0.37, 0.05, 2.3, 506
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 0.50, 0.04, 17.9, 2257
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 0.59, 0.11, 1.6, 653
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 0.68, 0.05, 2.2, 348
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 0.77, 0.09, 1.8, 427
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 0.79, 0.03, 1.7, 157
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 0.91, 0.06, 3.0, 1321
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 1.44, 0.11, 2.4, 1172
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 1.61, 0.13, 1.1, 220
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 1.86, 0.07, 4.7, 1744
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 2.12, 0.05, 5.4, 1065
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 2.35, 0.07, 4.4, 733
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 2.51, 0.11, 1.3, 184
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 2.70, 0.03, 10.4, 1662
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 2.88, 0.06, 5.1, 1639
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 3.21, 0.07, 2.7, 1106
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 3.38, 0.08, 1.8, 589
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 3.61, 0.08, 6.3, 1268
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 4.12, 0.08, 1.7, 900
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 4.88, 0.06, 2.6, 661
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 5.15, 0.12, 1.0, 187
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 5.19, 0.07, 1.3, 170
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 5.36, 0.10, 0.9, 129
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 5.53, 0.02, 12.0, 1366
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 5.64, 0.07, 2.3, 716
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 5.76, 0.06, 4.0, 1096
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 5.99, 0.08, 2.5, 652
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 6.21, 0.04, 5.2, 842
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 6.39, 0.07, 2.8, 566
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 6.56, 0.05, 22.3, 4566
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 7.32, 0.12, 1.1, 327
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 7.43, 0.04, 8.0, 2800
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 7.45, 0.10, 1.6, 324
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 7.53, 0.13, 3.3, 1399
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 7.66, 0.06, 15.2, 1552
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 7.77, 0.15, 1.6, 549
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 7.86, 0.05, 18.0, 1898
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 8.18, 0.07, 1.7, 452
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 8.37, 0.17, 0.9, 197
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 8.60, 0.07, 1.2, 274
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 8.84, 0.05, 5.3, 280
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 8.89, 0.13, 1.1, 168
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 9.01, 0.08, 2.5, 944
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 9.32, 0.11, 1.1, 339
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 9.39, 0.06, 2.4, 1066
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 9.54, 0.16, 1.0, 197
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 9.61, 0.08, 2.8, 880
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 9.81, 0.09, 1.1, 318
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 9.90, 0.13, 0.8, 150
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 9.96, 0.15, 0.8, 184
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 10.09, 0.10, 2.9, 622
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 10.30, 0.10, 0.9, 196
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 10.39, 0.05, 4.9, 1050
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 10.62, 0.04, 4.2, 489
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 10.81, 0.07, 2.2, 466
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 11.10, 0.06, 1.2, 229
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 11.40, 0.03, 17.5, 2837
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 11.45, 0.17, 0.9, 231
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 11.48, 0.07, 1.4, 198
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 11.49, 0.04, 5.1, 385
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 11.65, 0.16, 0.7, 185
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 11.75, 0.07, 3.5, 1149
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 12.01, 0.04, 14.9, 881
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 12.24, 0.06, 4.0, 642
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 12.27, 0.16, 1.0, 239
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 12.51, 0.07, 2.4, 1113
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 12.83, 0.06, 2.2, 339
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 13.01, 0.06, 1.5, 317
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 13.53, 0.06, 2.4, 668
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 13.76, 0.05, 3.5, 612
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 13.88, 0.06, 2.2, 402
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 14.15, 0.07, 1.8, 377
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 14.19, 0.14, 0.9, 206
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 14.21, 0.04, 16.7, 2389
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 14.57, 0.04, 1.8, 159
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 14.70, 0.17, 0.8, 193
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 14.87, 0.04, 2.6, 828
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 14.94, 0.04, 12.4, 1806
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 15.01, 0.09, 1.1, 214
ROOT_PFTC7_SITE1_(nogp)_0004, , DETECT, 15.17, 0.03, 14.0, 720
ROOT_PFTC7_SITE1_(nogp)_0004, -, MARKER, 0.00, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0004, -, MARKER, 1.17, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0004, -, MARKER, 3.51, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0004, -, MARKER, 4.66, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0004, -, MARKER, 7.00, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0004, -, MARKER, 8.24, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0004, -, MARKER, 10.61, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0004, -, MARKER, 11.76, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0004, -, MARKER, 14.31, -, -, -

TBA Density Info
# Total Detections = 84, 5.43, #/m
Zone 1: 0-20 cm
# Detections = 84, 5.43, #/m
Zone 2: 20-41 cm
# Detections = 0, 0.00, #/m
Zone 3: 41 cm -
# Detections = 0, 0.00, #/m
