SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 0.09, 0.03, 24.2, 905
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 0.14, 0.12, 1.7, 438
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 0.55, 0.09, 1.3, 212
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 0.79, 0.11, 2.2, 345
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 1.10, 0.12, 2.6, 1173
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 1.18, 0.06, 12.6, 2879
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 1.40, 0.04, 43.9, 5354
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 1.97, 0.09, 1.6, 221
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 2.28, 0.10, 1.5, 148
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 2.66, 0.11, 1.2, 138
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 2.69, 0.06, 4.2, 1855
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 2.81, 0.04, 3.6, 557
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 3.02, 0.10, 1.3, 101
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 3.05, 0.02, 22.7, 1403
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 3.13, 0.07, 2.1, 580
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 3.28, 0.04, 9.5, 526
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 3.89, 0.06, 9.4, 1294
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 4.04, 0.06, 3.0, 445
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 4.17, 0.10, 1.7, 190
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 4.29, 0.08, 5.5, 1113
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 4.53, 0.14, 1.6, 182
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 4.68, 0.09, 4.1, 1023
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 5.01, 0.15, 2.2, 413
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 5.04, 0.07, 2.7, 311
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 5.15, 0.11, 1.9, 468
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 5.28, 0.12, 1.1, 69
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 5.33, 0.05, 8.1, 660
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 5.46, 0.09, 1.7, 151
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 5.58, 0.03, 22.9, 2656
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 5.66, 0.10, 1.3, 92
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 5.77, 0.07, 5.1, 1332
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 5.89, 0.06, 3.5, 593
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 6.28, 0.05, 3.0, 375
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 6.58, 0.05, 8.1, 253
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 6.65, 0.06, 2.3, 572
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 6.92, 0.06, 2.6, 907
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 7.22, 0.02, 53.0, 3859
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 7.50, 0.06, 3.7, 625
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 7.63, 0.04, 7.6, 629
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 7.80, 0.07, 2.2, 314
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 8.22, 0.02, 3.9, 300
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 8.26, 0.08, 1.1, 114
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 8.51, 0.07, 1.8, 231
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 8.69, 0.06, 4.4, 452
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 8.95, 0.06, 4.4, 1163
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 9.31, 0.06, 3.1, 450
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 9.49, 0.05, 7.8, 404
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 9.53, 0.03, 37.5, 1297
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 9.69, 0.06, 37.6, 2047
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 9.83, 0.10, 1.5, 117
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 9.97, 0.06, 2.3, 495
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 10.22, 0.07, 1.9, 398
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 10.48, 0.10, 3.3, 629
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 10.65, 0.07, 2.3, 509
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 11.05, 0.06, 3.7, 687
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 11.14, 0.05, 2.3, 209
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 11.26, 0.06, 3.4, 164
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 11.36, 0.08, 1.4, 134
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 11.62, 0.04, 23.1, 2024
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 12.46, 0.11, 1.8, 314
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 12.48, 0.01, 43.4, 4857
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 12.50, 0.07, 3.4, 988
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 12.68, 0.09, 2.2, 519
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 12.87, 0.08, 3.1, 565
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 13.23, 0.08, 4.8, 408
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 13.49, 0.07, 1.8, 485
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 13.66, 0.07, 1.3, 157
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 13.79, 0.04, 15.1, 1511
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 13.91, 0.07, 3.1, 501
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 14.05, 0.08, 3.1, 1190
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 14.52, 0.10, 1.7, 226
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 14.84, 0.02, 43.1, 4088
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 14.93, 0.07, 3.1, 778
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 15.12, 0.07, 1.6, 259
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 15.24, 0.06, 5.9, 678
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 15.34, 0.05, 2.5, 172
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 15.41, 0.04, 5.2, 245
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 15.52, 0.06, 2.8, 429
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 15.62, 0.07, 4.1, 636
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 15.98, 0.08, 2.9, 741
ROOT_PFTC7_SITE2_(nogp)_0001, , DETECT, 16.07, 0.13, 1.2, 146
ROOT_PFTC7_SITE2_(nogp)_0001, -, MARKER, 0.00, -, -, -
ROOT_PFTC7_SITE2_(nogp)_0001, -, MARKER, 1.18, -, -, -
