original_name,new_name
ROOT_PFTC7_SITE1_(nogp)_0001,ROOT_PFTC7_SITE1_(nogp)_transect_1
ROOT_PFTC7_SITE1_(nogp)_0002,ROOT_PFTC7_SITE1_(nogp)_transect_2
ROOT_PFTC7_SITE2_(nogp)_0002,ROOT_PFTC7_SITE2_(nogp)_transect_1
ROOT_PFTC7_SITE2_(nogp)_0003,ROOT_PFTC7_SITE2_(nogp)_transect_2
site3-1-ROOT_PFTC_SITE3_0001,ROOT_PFTC7_SITE3_(nogp)_transect_1
site3-2-ROOT_PFTC_SITE3_0002,ROOT_PFTC7_SITE3_(nogp)_transect_2
site4-1-ROOT_PFTC_SITE4_(nogp)_0003,ROOT_PFTC7_SITE4_(nogp)_transect_1
site4-2-ROOT_PFTC_SITE4_(nogp)_0004,ROOT_PFTC7_SITE4_(nogp)_transect_2
ROOT_PFTC7_SITE1_(nogp)_0003,ROOT_PFTC7_SITE1_(nogp)_plot_w
ROOT_PFTC7_SITE1_(nogp)_0004,ROOT_PFTC7_SITE1_(nogp)_plot_e
ROOT_PFTC7_SITE2_(nogp)_0001,ROOT_PFTC7_SITE2_(nogp)_plot_w
ROOT_PFTC7_SITE2_(nogp)_0004,ROOT_PFTC7_SITE2_(nogp)_plot_e
ROOT_SITE3_WEST_PLOT_0001,ROOT_PFTC7_SITE3_(nogp)_plot_w
ROOT_SITE3_WEST_PLOT_0002,ROOT_PFTC7_SITE3_(nogp)_plot_e
ROOT_PFTC_SITE4_(nogp)_0005,ROOT_PFTC7_SITE4_(nogp)_plot_w
ROOT_PFTC_SITE4_(nogp)_0006,ROOT_PFTC7_SITE4_(nogp)_plot_e
