SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 0.01, 0.06, 3.1, 503
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 0.05, 0.13, 1.3, 226
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 0.19, 0.06, 2.8, 324
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 0.26, 0.13, 1.7, 210
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 0.40, 0.04, 11.4, 1847
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 0.81, 0.10, 1.3, 329
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 0.91, 0.05, 3.3, 511
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 0.97, 0.11, 1.7, 442
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 1.11, 0.04, 45.5, 1895
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 1.41, 0.04, 19.3, 1956
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 1.59, 0.10, 7.9, 604
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 1.83, 0.05, 3.6, 592
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 1.92, 0.07, 2.8, 698
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 2.28, 0.07, 4.6, 1170
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 2.38, 0.07, 4.5, 623
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 2.53, 0.04, 18.8, 915
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 2.62, 0.05, 5.1, 920
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 2.78, 0.06, 1.9, 91
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 2.87, 0.07, 5.6, 383
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 3.02, 0.11, 2.8, 468
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 3.14, 0.08, 2.2, 283
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 3.20, 0.12, 3.3, 1463
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 3.29, 0.08, 2.4, 296
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 3.86, 0.08, 3.8, 760
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 3.91, 0.17, 1.6, 411
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 4.00, 0.04, 64.7, 6583
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 4.09, 0.13, 2.0, 493
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 4.22, 0.19, 2.5, 845
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 4.29, 0.20, 1.7, 220
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 4.31, 0.11, 1.9, 502
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 4.37, 0.18, 1.5, 466
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 4.41, 0.06, 3.1, 493
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 4.47, 0.05, 2.1, 193
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 4.70, 0.06, 3.2, 278
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 4.78, 0.10, 1.7, 320
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 4.92, 0.08, 2.6, 791
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 5.03, 0.13, 2.2, 690
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 5.11, 0.08, 2.2, 229
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 5.20, 0.05, 2.4, 476
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 5.31, 0.07, 2.4, 281
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 5.36, 0.06, 3.1, 503
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 5.90, 0.05, 24.2, 2093
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 6.13, 0.10, 2.4, 375
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 6.22, 0.04, 56.1, 4067
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 6.28, 0.09, 3.2, 904
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 6.55, 0.09, 1.5, 199
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 6.70, 0.08, 4.0, 949
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 7.03, 0.06, 3.9, 302
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 7.40, 0.12, 2.0, 259
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 7.46, 0.15, 1.4, 207
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 7.46, 0.07, 7.0, 519
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 7.56, 0.14, 2.7, 835
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 7.71, 0.06, 6.3, 1334
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 7.87, 0.10, 2.3, 845
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 8.09, 0.10, 2.8, 551
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 8.16, 0.04, 4.3, 129
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 8.23, 0.06, 5.1, 612
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 8.43, 0.08, 1.5, 265
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 9.02, 0.05, 2.6, 283
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 9.36, 0.07, 3.0, 348
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 9.55, 0.07, 2.2, 301
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 9.70, 0.06, 4.2, 476
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 9.77, 0.09, 1.2, 172
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 10.02, 0.07, 4.0, 458
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 10.30, 0.05, 49.4, 7830
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 10.55, 0.11, 1.6, 213
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 10.76, 0.06, 16.4, 1077
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 11.07, 0.06, 34.5, 2139
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 11.44, 0.09, 1.8, 191
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 11.51, 0.09, 1.6, 146
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 11.62, 0.07, 2.1, 560
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 12.10, 0.06, 13.3, 1561
ROOT_PFTC7_SITE2_(nogp)_0002, , DETECT, 12.17, 0.10, 1.5, 89
