"","id","date","elevation_m_asl","site_id","aspect","species","plant_id","fire","traits","value"
"1","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"root_depth_cm",16
"2","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"no_root_scan",5
"3","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"total_root_wet_mass_g",0.0527
"4","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"total_root_dry_mass_g",0.0183
"5","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"total_root_length_mm",1185.77074
"6","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"total_root_volume_mm3",96.305368
"7","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"RD",0.291187
"8","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"BI",0.45034
"9","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"SRL",64.7962153
"10","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"RTD",0.19002056
"11","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"RDMC",347.2485769
"12","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"no_tuber_scan",NA
"13","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"total_tuber_wet_mass_g",NA
"14","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"total_tuber_dry_mass_g",NA
"15","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"reproductive_height_cm",32.8
"16","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"vegetative_height_cm",15
"17","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"no_leaf",5
"18","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"total_leaf_wet_mass_g",0.193
"19","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"total_leaf_dry_mass_g",0.0663
"20","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"total_leaf_area_cm2",10.324
"21","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"SLA",155.7164404
"22","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"leaf_thickness_mm",0.187333333
"23","FBC0289","12/5/2023",2200,2,"west","EC",3,1,"LDMC",343.5233161
