File.Name,date,elevation,siteID,aspect,project,sp,plantID,leafID,height,root_depth,grazing,fire,resprout,no_root_scan,root_wet_mass_g,no_tuber_scan,tuber_wet_mass_g,no_leaf,leaf_wet_mass_g,leaf_thick_1_mm,leaf_thick_2_mm,leaf_thick_3_mm,root_dry_mass,tuber_dry_mass,BGB,leaf_dry_mass,AGB,leaf_area_nr,leaf_area
FBC0289,12/05/2023,2200,2,W,R,EC,3,32.8,15,16,N,Y,,5,0.0527,NA,NA,5,0.193,0.177,0.188,0.197,0.0183,NA,8.5422,0.0663,0.5919,5,10.324
FBD8952,12/08/2023,2800,5,NW,R,SG,1,34,27,12.7,,Y,Y,5,0.0496,5,0.598,1,0.369,0.644,0.547,0.684,0.01543,0.18462,6.09,0.4487,2.27,3,6.056
FBE2394,12/09/2023,2400,3,W,R,SG,3,36,18.4,18.5,,,,4,0.0274,5,0.5807,1,1.0045,0.513,0.535,0.557,0.00644,0.18633,0.69,0.19982,0.89,2,19.036
FBF4179,12/08/2023,2800,5,NW,R,TT,2,NA,12,28.8,,Y,,5,0.122,NA,NA,5,0.0868,0.108,0.214,0.131,0.04337,NA,26.32,0.03033,12.06,5,6.109
FBG3400,12/05/2023,2200,2,W,R,TT,5,18.5,15,11.7,N,Y,,3,0.0632,NA,NA,5,0.0982,0.115,0.117,0.107,0.0266,NA,0.9894,0.0367,2.9319,5,9.338
FBH8238,12/08/2023,2800,5,NW,R,SG,5,29.7,14.5,21.4,,Y,,5,0.0334,5,0.5752,1,1.9294,0.569,0.644,0.579,0.00739,0.19152,3.36,0.26669,1.66,1,34.673
FBI0246,12/08/2023,2800,5,NW,R,HPA,2,21.1,2.5,23,,,,5,0.0316,5,0.9371,1,0.6762,0.745,0.849,0.762,0.01032,0.17859,4.08,0.13551,0.78,1,12.243
FBJ6221,12/08/2023,2800,5,NW,R,HPA,4,19.8,3.5,13,,,,5,0.035,5,0.707,1,0.4948,0.738,0.793,0.759,0.01374,0.1356,4.19,0.09943,1.13,2,8.924
FBK1070,12/05/2023,2200,2,W,R,TT,3,17.2,19.2,16.6,N,Y,,5,0.0643,NA,NA,5,0.0687,0.117,0.123,0.123,0.0285,NA,2.7946,0.0315,2.6789,5,8.14
FBM2759,12/08/2023,2800,5,NW,R,SG,4,26.5,14.2,21.8,,Y,,5,0.097,5,0.3345,1,1.5364,0.599,0.616,0.623,0.03444,0.10701,1.98,0.22366,1.34,1,27.454
FBN8285,12/08/2023,2800,5,NW,R,HPA,5,7.8,4.1,10,,,,4,0.0248,5,0.6443,1,0.7515,0.784,0.861,0.705,0.00545,0.12552,1.58,0.13365,0.66,1,12.928
FBO8536,12/05/2023,2200,2,W,R,TT,4,21.1,18.3,18.2,Y,Y,,5,0.07,NA,NA,5,0.2021,0.141,0.136,0.129,0.0297,NA,5.648,0.0742,3.0583,5,15.117
FBP4231,12/08/2023,2800,5,NW,R,SG,2,23.9,9.7,20.1,,Y,Y,5,0.0853,5,0.8063,1,1.3087,0.752,0.773,0.433,0.01967,0.13203,1.69,0.20102,1.4,2,19.888
FBQ2034,12/08/2023,2800,5,NW,R,HPA,3,18.3,5,14.5,N,,,5,0.0389,5,0.5246,1,0.7915,1.051,1.17,1.095,0.00958,0.07859,0.41,0.14951,0.62,2,15.614
FBR3362,12/08/2023,2800,5,NW,R,HPA,1,9.5,4,16,,,,5,0.0576,5,0.644,1,1.0151,0.632,0.729,0.531,0.01929,0.10746,2.9,0.14336,1.21,1,16.376
FBS3237,12/05/2023,2200,2,W,R,TT,1,25.9,18.2,13.5,N,Y,,4,0.0329,NA,NA,5,0.1568,0.144,0.134,0.153,0.0146,NA,11.4131,0.0579,6.4638,6,13.722
