File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Root.Length.Diameter.Range.4.mm,Root.Length.Diameter.Range.5.mm,Root.Length.Diameter.Range.6.mm,Root.Length.Diameter.Range.7.mm,Root.Length.Diameter.Range.8.mm,Root.Length.Diameter.Range.9.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Projected.Area.Diameter.Range.4.mm2,Projected.Area.Diameter.Range.5.mm2,Projected.Area.Diameter.Range.6.mm2,Projected.Area.Diameter.Range.7.mm2,Projected.Area.Diameter.Range.8.mm2,Projected.Area.Diameter.Range.9.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.4.mm2,Surface.Area.Diameter.Range.5.mm2,Surface.Area.Diameter.Range.6.mm2,Surface.Area.Diameter.Range.7.mm2,Surface.Area.Diameter.Range.8.mm2,Surface.Area.Diameter.Range.9.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3,Volume.Diameter.Range.4.mm3,Volume.Diameter.Range.5.mm3,Volume.Diameter.Range.6.mm3,Volume.Diameter.Range.7.mm3,Volume.Diameter.Range.8.mm3,Volume.Diameter.Range.9.mm3
FCI1638,Full,347,680,1318.066891,0.515907,283.757497,0.2628,0.239473,1.06087,2406.027301,89.878793,1077.147908,3.909,820.852856,378.481872,107.248009,11.237417,0.246737,0,0,0,0,149.342806,120.888199,63.24968,9.055646,0.256498,0,0,0,0,469.174261,379.941852,198.776829,28.449152,0.805813,0,0,0,0,22.307787,31.929874,29.674338,5.757329,0.209465,0,0,0,0
FBW8179,Full,290,602,1551.731842,0.387954,412.28233,0.308655,0.254,1.176227,2894.052828,144.313764,1494.570042,4.894,715.752632,617.063721,193.857806,23.348061,1.709622,0,0,0,0,133.431975,208.254718,113.097849,19.027477,1.851735,0,0,0,0,419.188914,654.407677,355.379472,59.776581,5.817398,0,0,0,0,20.358657,57.68351,52.451223,12.242544,1.577831,0,0,0,0
FBC0289,Full,251,534,1185.77074,0.45034,291.03526,0.291187,0.254,1.100667,2186.728143,96.305368,1075.458545,3.565,589.695682,481.008575,99.964699,13.970302,1.131482,0,0,0,0,111.882007,159.624429,58.153726,11.441776,1.204199,0,0,0,0,351.48769,501.474932,182.767419,35.945401,3.783104,0,0,0,0,17.317964,43.670981,26.910259,7.398892,1.007272,0,0,0,0
FCE1581,Full,218,435,1068.890457,0.406964,287.8686,0.31962,0.26774,1.151591,1964.820178,104.231651,1067.405072,5.571,392.957395,553.353248,96.156675,23.730824,2.692314,0,0,0,0,75.473467,185.642676,56.024633,19.715967,2.835206,0,0,0,0,237.106889,583.261439,176.078675,62.051006,8.907063,0,0,0,0,11.850593,51.054883,25.985129,12.992552,2.348493,0,0,0,0
FCA5827,Full,380,843,1561.236903,0.539956,315.77177,0.23528,0.239473,0.757282,2941.234821,75.958142,1147.428124,4.88,960.079602,584.277,16.820432,0.059868,0,0,0,0,0,174.644977,181.171741,9.311505,0.045337,0,0,0,0,0,548.6793,569.353437,29.252955,0.142431,0,0,0,0,0,26.15005,45.695511,4.085616,0.026965,0,0,0,0,0
FEY3832,Full,178,314,932.442329,0.33675,212.711044,0.26147,0.239473,1.31438,1780.029271,60.220092,763.42978,3.584,508.670699,382.843629,32.845557,6.542155,0.927079,0.61321,0,0,0,95.571517,120.637904,19.46901,5.496651,1.001673,0.78487,0,0,0,300.246776,379.138473,61.1637,17.26824,3.146849,2.465742,0,0,0,14.745116,31.020149,9.158685,3.652756,0.854204,0.789182,0,0,0
FGO9191,Full,227,495,1098.931528,0.450438,291.31483,0.324198,0.254,1.113616,1965.882553,114.766749,1109.321506,2.946,466.462942,455.672573,139.319834,35.290618,2.185561,0,0,0,0,88.76016,149.281346,83.454635,29.248404,2.2894,0,0,0,0,278.864189,469.028952,262.349431,91.886573,7.192361,0,0,0,0,13.821276,40.12367,39.777347,19.158526,1.88593,0,0,0,0
FEL2208,Full,214,355,961.957474,0.369039,214.241507,0.256532,0.239473,1.030014,1827.547512,56.500935,771.098144,3.517,520.492789,416.258211,22.893912,2.143227,0.169333,0,0,0,0,99.367448,130.932779,13.144294,1.791561,0.173529,0,0,0,0,312.187969,411.442645,41.294018,5.628355,0.545157,0,0,0,0,15.495567,33.67473,6.00469,1.18628,0.139667,0,0,0,0
FFY6725,Full,430,964,2294.106374,0.420207,491.868192,0.252074,0.239473,1.135923,4269.881912,136.758801,1806.675895,5.824,1412.215738,762.976714,108.60182,9.307619,1.004482,0,0,0,0,264.417817,239.178668,62.823499,7.536917,1.065071,0,0,0,0,830.693072,751.593037,197.365843,23.677924,3.346019,0,0,0,0,40.526107,61.660872,28.857481,4.826088,0.888253,0,0,0,0
FGG8281,Full,295,611,1706.601931,0.358021,404.033242,0.282291,0.239473,1.100667,3155.096001,134.684547,1500.706443,3.784,923.784075,619.223399,130.626672,30.599612,2.368174,0,0,0,0,172.905342,199.208551,77.452298,25.610726,2.467161,0,0,0,0,543.198151,625.975438,243.32357,80.458468,7.750816,0,0,0,0,26.394133,52.803726,36.517036,16.94969,2.019962,0,0,0,0
FGE4515,Full,162,321,860.967233,0.372836,222.990593,0.303046,0.254,1.338698,1598.538373,78.317388,816.460233,2.906,378.210477,376.860618,92.713879,10.32061,2.530244,0.331403,0,0,0,67.694422,126.351163,54.231816,8.332514,2.796808,0.429953,0,0,0,212.684224,397.087202,170.374274,26.177364,8.786431,1.350738,0,0,0,10.061428,34.870849,25.198429,5.314032,2.434306,0.438344,0,0,0
FGJ9233,Full,423,907,2066.733494,0.438857,412.278745,0.232929,0.18932,0.931333,3907.791372,103.190068,1498.229623,5.85,1421.238239,585.142484,50.027905,10.324865,0,0,0,0,0,258.942394,179.567819,29.938472,8.313289,0,0,0,0,0,813.491522,564.465934,94.054485,26.217682,0,0,0,0,0,38.610702,45.018324,14.242225,5.318816,0,0,0,0,0
