"","File.Name","date","elevation","siteID","aspect","project","sp","plantID","leafID","height","root_depth","grazing","fire","resprout","no_root_scan","root_wet_mass_g","no_tuber_scan","tuber_wet_mass_g","no_leaf","leaf_wet_mass_g","leaf_thick_1_mm","leaf_thick_2_mm","leaf_thick_3_mm","notes","drying_status","root_dry_mass","tuber_dry_mass","BGB","leaf_dry_mass","AGB","AGB.BGB","Region.of.Interest","Number.of.Root.Tips","Number.of.Branch.Points","Total.Root.Length.mm","Branching.frequency.per.mm","Network.Area.mm2","Average.Diameter.mm","Median.Diameter.mm","Maximum.Diameter.mm","Perimeter.mm","Volume.mm3","Surface.Area.mm2","Computation.Time.s","Root.Length.Diameter.Range.1.mm","Root.Length.Diameter.Range.2.mm","Root.Length.Diameter.Range.3.mm","Root.Length.Diameter.Range.4.mm","Root.Length.Diameter.Range.5.mm","Root.Length.Diameter.Range.6.mm","Root.Length.Diameter.Range.7.mm","Root.Length.Diameter.Range.8.mm","Root.Length.Diameter.Range.9.mm","Projected.Area.Diameter.Range.1.mm2","Projected.Area.Diameter.Range.2.mm2","Projected.Area.Diameter.Range.3.mm2","Projected.Area.Diameter.Range.4.mm2","Projected.Area.Diameter.Range.5.mm2","Projected.Area.Diameter.Range.6.mm2","Projected.Area.Diameter.Range.7.mm2","Projected.Area.Diameter.Range.8.mm2","Projected.Area.Diameter.Range.9.mm2","Surface.Area.Diameter.Range.1.mm2","Surface.Area.Diameter.Range.2.mm2","Surface.Area.Diameter.Range.3.mm2","Surface.Area.Diameter.Range.4.mm2","Surface.Area.Diameter.Range.5.mm2","Surface.Area.Diameter.Range.6.mm2","Surface.Area.Diameter.Range.7.mm2","Surface.Area.Diameter.Range.8.mm2","Surface.Area.Diameter.Range.9.mm2","Volume.Diameter.Range.1.mm3","Volume.Diameter.Range.2.mm3","Volume.Diameter.Range.3.mm3","Volume.Diameter.Range.4.mm3","Volume.Diameter.Range.5.mm3","Volume.Diameter.Range.6.mm3","Volume.Diameter.Range.7.mm3","Volume.Diameter.Range.8.mm3","Volume.Diameter.Range.9.mm3","SRL","RTD","RDMC"
"1","FCI1638","12/5/2023",2200,2,"W","R","EC",1,29.4,5.8,13.1,"Y","Y","",5,0.0178,NA,NA,5,0.1573,0.213,0.226,0.364,"","SfD11",0.0141,NA,1.555,0.0471,0.5168,0.332347267,"Full",1207,1711,1314.275974,1.301857,213.93864,0.220144,0.169333,1.070958,2178.366561,72.898101,914.289522,1.887,925.481699,284.904396,97.914346,5.686463,0.28907,0,0,0,0,133.817639,95.127419,57.061338,4.518096,0.299809,0,0,0,0,420.660322,299.06978,179.423526,14.194017,0.941877,0,0,0,0,16.916992,26.415407,26.487098,2.834318,0.244287,0,0,0,0,93.2110619858156,0.193420676349306,792.134831460674
"2","FBW8179","12/5/2023",2200,2,"W","R","EC",2,23.4,13.7,13,"Y","Y","",5,0.1044,NA,NA,5,0.1289,0.135,0.224,0.158,"","SfD11",0.0313,NA,6.7268,0.0459,2.7015,0.401602545,"Full",2051,2666,1907.643227,1.397536,371.300333,0.268941,0.18932,1.365209,3000.258593,162.422157,1638.021204,3.093,1085.793204,550.215774,228.175274,41.337538,1.465894,0.655544,0,0,0,160.376754,187.756243,136.647411,33.632824,1.589645,0.857085,0,0,0,504.22663,590.426069,429.801715,105.880159,4.994018,2.692613,0,0,0,20.759382,52.524293,65.191163,21.706206,1.360253,0.88086,0,0,0,60.9470679552716,0.192707698125201,299.808429118774
"3","FBC0289","12/5/2023",2200,2,"W","R","EC",3,32.8,15,16,"N","Y","",5,0.0527,NA,NA,5,0.193,0.177,0.188,0.197,"","SfD11",0.0183,NA,8.5422,0.0663,0.5919,0.069291283,"Full",1669,2279,1436.003281,1.587044,241.96905,0.240895,0.18932,0.965349,2221.547822,92.933212,1099.577678,1.995,868.839308,451.010103,107.204215,8.949655,0,0,0,0,0,124.999867,155.953349,61.324384,7.193625,0,0,0,0,0,393.044586,490.989181,192.724726,22.819185,0,0,0,0,0,15.875837,44.532657,27.873046,4.651672,0,0,0,0,0,78.4701246448087,0.196915608598571,347.248576850095
"4","FCA5827","12/5/2023",2200,2,"W","R","EC",5,31.9,6.8,12.1,"N","Y","",4,0.03,NA,NA,5,0.288,0.314,0.31,0.286,"","SfD11",0.0139,NA,2.5881,0.0938,0.9659,0.373208145,"Full",1998,2824,1751.616378,1.612225,186.732601,0.1478,0.119737,0.542131,3040.384503,37.111197,811.491116,2.28,1547.919313,203.330592,0.366473,0,0,0,0,0,0,197.759633,60.086922,0.192747,0,0,0,0,0,0,621.741595,189.143989,0.605532,0,0,0,0,0,0,22.661471,14.370031,0.079695,0,0,0,0,0,0,126.01556676259,0.374550031355766,463.333333333333
"5","FCF2601","12/6/2023",2200,2,"W","R","SG",1,46.7,16,17.5,"N","Y","Y",5,0.0284,5,1.5751,1,0.9725,0.823,0.755,0.69,"","SfD11",0.0046,0.3839,1.4435,0.142,1.7437,1.207966747,"Full",819,1087,591.897052,1.836468,127.68254,0.309553,0.26774,1.030014,819.005107,60.829416,596.104681,1.011,227.426304,271.401397,78.666689,13.901925,0.500737,0,0,0,0,39.692618,91.719688,46.444701,11.202597,0.510628,0,0,0,0,124.780241,288.450311,146.075948,35.193995,1.604185,0,0,0,0,5.917422,25.534453,21.845666,7.122895,0.40898,0,0,0,0,128.673272173913,0.0756213079540333,161.971830985915
"6","FBP4231","12/8/2023",2800,5,"NW","R","SG",2,23.9,9.7,20.1,"","Y","Y",5,0.0853,5,0.8063,1,1.3087,0.752,0.773,0.433,"","SfD14",0.01967,0.13203,1.69,0.20102,1.4,0.828402367,"Full",1619,2175,1425.498597,1.525782,288.925945,0.27576,0.239473,1.446785,2196.931523,125.795839,1270.206443,1.85,744.15748,503.288297,148.374271,20.320089,7.282366,2.076096,0,0,0,117.231441,171.99808,87.227935,16.885898,7.90186,2.78889,0,0,0,368.603747,540.861363,274.10674,53.048613,24.824426,8.761555,0,0,0,15.867826,48.376874,40.745106,11.102459,6.754279,2.949295,0,0,0,72.4706963396035,0.156364472436962,230.597889800703
"7","FBM2759","12/8/2023",2800,5,"NW","R","SG",4,26.5,14.2,21.8,"","Y","",5,0.097,5,0.3345,1,1.5364,0.599,0.616,0.623,"","SfD14",0.03444,0.10701,1.98,0.22366,1.34,0.676767677,"Full",1482,2031,1660.803281,1.222902,323.515482,0.257089,0.18932,1.139073,2721.713761,125.548128,1356.877847,2.295,991.203717,490.108015,149.003895,27.33569,3.151964,0,0,0,0,152.135622,164.712129,88.864197,22.650782,3.324341,0,0,0,0,478.119235,517.868777,279.175109,71.271001,10.443725,0,0,0,0,20.202172,45.609273,42.096568,14.882374,2.757741,0,0,0,0,48.2230917828107,0.274317112876426,355.051546391753
"8","FBZ6377","12/8/2023",2600,4,"W","R","SG",1,30,14.6,17,"","Y","",3,0.0316,5,0.2829,1,0.4762,0.543,0.541,0.569,"","SfD14",0.01083,0.10171,0.8,0.09164,0.65,0.8125,"Full",838,1044,857.017859,1.218178,161.472795,0.243652,0.18932,0.798744,1426.853957,52.875397,666.389705,1.048,463.692406,363.924972,28.984412,0.41607,0,0,0,0,0,66.57021,128.971165,16.099748,0.320987,0,0,0,0,0,209.16166,405.460449,50.759184,1.008411,0,0,0,0,0,8.4421,37.104233,7.134479,0.194585,0,0,0,0,0,79.1336896583564,0.204821157182044,342.721518987342
"9","FBE2394","12/9/2023",2400,3,"W","R","SG",3,36,18.4,18.5,"","","",4,0.0274,5,0.5807,1,1.0045,0.513,0.535,0.557,"","SfD14",0.00644,0.18633,0.69,0.19982,0.89,1.289855072,"Full",1121,1370,887.952399,1.542875,107.68258,0.168066,0.169333,1.023031,1508.512783,25.100791,469.148262,1.101,738.803453,144.62001,3.34485,1.022017,0.16207,0,0,0,0,102.048952,44.117273,1.956191,0.891121,0.165654,0,0,0,0,320.825699,138.857049,6.145555,2.79954,0.520418,0,0,0,0,12.455223,10.991837,0.906517,0.614231,0.132982,0,0,0,0,137.880807298137,0.256565619784651,235.036496350365
"10","FCG9760","12/9/2023",2400,3,"W","R","SG",4,35.6,20,10,"","","",5,0.3908,5,0.0123,1,0.4215,0.439,0.479,0.453,"","TD",0.00679,0.12031,4.64,0.06366,1.05,0.226293103,"Full",523,675,452.819523,1.49066,77.15576,0.226874,0.18932,0.762,742.612634,23.465424,326.291183,0.876,256.049743,189.319844,6.973998,0.475938,0,0,0,0,0,37.169672,62.427607,3.822391,0.361701,0,0,0,0,0,116.838249,196.308221,12.008397,1.136316,0,0,0,0,0,4.802139,16.78751,1.659881,0.215895,0,0,0,0,0,66.6891786450663,0.289361913937715,17.374616171955
