"","source","ID","Number.of.Root.Tips","Number.of.Branch.Points","Total.Root.Length.mm","Network.Area.mm2","Median.Diameter.mm","Maximum.Diameter.mm","Perimeter.mm","Volume.mm3","Surface.Area.mm2","Computation.Time.s","Root.Length.Diameter.Range.1.mm","Root.Length.Diameter.Range.2.mm","Root.Length.Diameter.Range.3.mm","Root.Length.Diameter.Range.4.mm","Root.Length.Diameter.Range.5.mm","Root.Length.Diameter.Range.6.mm","Root.Length.Diameter.Range.7.mm","Root.Length.Diameter.Range.8.mm","Root.Length.Diameter.Range.9.mm","Projected.Area.Diameter.Range.1.mm2","Projected.Area.Diameter.Range.2.mm2","Projected.Area.Diameter.Range.3.mm2","Projected.Area.Diameter.Range.4.mm2","Projected.Area.Diameter.Range.5.mm2","Projected.Area.Diameter.Range.6.mm2","Projected.Area.Diameter.Range.7.mm2","Projected.Area.Diameter.Range.8.mm2","Projected.Area.Diameter.Range.9.mm2","Surface.Area.Diameter.Range.1.mm2","Surface.Area.Diameter.Range.2.mm2","Surface.Area.Diameter.Range.3.mm2","Surface.Area.Diameter.Range.4.mm2","Surface.Area.Diameter.Range.5.mm2","Surface.Area.Diameter.Range.6.mm2","Surface.Area.Diameter.Range.7.mm2","Surface.Area.Diameter.Range.8.mm2","Surface.Area.Diameter.Range.9.mm2","Volume.Diameter.Range.1.mm3","Volume.Diameter.Range.2.mm3","Volume.Diameter.Range.3.mm3","Volume.Diameter.Range.4.mm3","Volume.Diameter.Range.5.mm3","Volume.Diameter.Range.6.mm3","Volume.Diameter.Range.7.mm3","Volume.Diameter.Range.8.mm3","Volume.Diameter.Range.9.mm3","RD","BI","SRL","RTD","RDMC"
"1","RawScanners","FCI1638",1940,3145,1652.478178,257.112389,0.18932,1.070958,2390.956864,118.02957,1281.890649,1.664,1055.613651,409.625158,153.484784,32.580769,1.173815,0,0,0,0,153.551184,134.364054,91.792343,26.661862,1.212294,0,0,0,0,482.97324,422.747664,288.600499,83.760711,3.808535,0,0,0,0,19.557179,36.473126,43.771969,17.243644,0.983651,0,0,0,0,0.243516,1.903202,117.197033900709,0.119461589159395,792.134831460674
"2","RawScanners","FBW8179",2581,3917,2062.974175,404.730373,0.239473,1.436841,2795.141242,234.349138,2035.935777,2.612,1007.299284,657.469372,293.653991,86.641431,15.922923,1.987174,0,0,0,151.330795,227.283557,176.723314,72.04217,17.317187,2.62787,0,0,0,475.854511,714.74397,555.960934,226.557875,54.562789,8.255697,0,0,0,19.821007,64.561888,84.826065,47.476373,14.929094,2.734712,0,0,0,0.305641,1.898715,65.9097180511182,0.133561404437511,299.808429118774
"3","RawScanners","FBC0289",2022,3061,1519.41547,263.712734,0.239473,1.289604,2055.956737,133.943534,1343.575284,1.611,787.704131,532.701756,162.266868,30.088603,5.772376,0.881737,0,0,0,116.844656,182.869257,94.952414,24.728231,6.160151,1.121285,0,0,0,367.738635,575.918644,298.781128,78.11519,19.499067,3.52262,0,0,0,15.196025,51.798363,44.328287,16.242959,5.25792,1.11998,0,0,0,0.275357,2.014591,83.0281677595628,0.136624736211604,347.248576850095
"4","RawScanners","FCE1581",2298,4036,1595.675228,255.827445,0.239473,1.419272,1937.590422,158.137153,1461.333465,2.366,819.183075,552.823119,156.663309,50.596592,13.973827,2.435306,0,0,0,121.53505,188.390058,93.223385,42.384465,15.43976,3.180919,0,0,0,382.862469,592.679753,293.530013,133.762641,48.505436,9.993153,0,0,0,15.830636,52.881933,44.378447,28.331529,13.447014,3.267594,0,0,0,0.28224,2.529337,89.6446757303371,0.112560518906016,37.3949579831933
"5","RawScanners","FCA5827",1537,2354,983.099394,114.089378,0.169333,0.682604,1512.985214,30.641817,545.867366,1.801,763.487399,215.0014,4.610595,0,0,0,0,0,0,104.378719,66.450922,2.522168,0,0,0,0,0,0,328.57541,209.368332,7.923624,0,0,0,0,0,0,12.780409,16.771045,1.090363,0,0,0,0,0,0,0.174889,2.394468,70.7265751079137,0.453628451602593,463.333333333333
"6","RawScanners","FEY3832",976,1409,633.690198,102.594777,0.18932,1.401483,864.605422,54.651946,536.284709,1.302,359.634779,203.819597,47.292314,18.477449,3.122911,1.343149,0,0,0,52.460631,68.71534,28.722601,15.376911,3.396874,1.785167,0,0,0,165.025875,216.245179,90.425803,48.30799,10.671595,5.608267,0,0,0,6.740162,19.068439,13.946789,10.119496,2.911667,1.865392,0,0,0,0.260533,2.223484,59.613377046096,0.194503595535281,356.711409395973
"7","RawScanners","FGO9191",1749,2379,1518.369989,321.139143,0.254,1.554273,2059.820537,202.528313,1626.791999,1.338,665.379777,536.470758,191.265076,103.604422,18.389774,2.759446,0.500737,0,0,105.594442,183.779213,116.399029,87.287084,19.718212,3.712567,0.764492,0,0,332.013189,577.843014,366.317623,274.464057,62.089021,11.663372,2.401723,0,0,14.406522,51.69437,56.57978,58.262364,16.734296,3.934193,0.916788,0,0,0.333035,1.566812,105.442360347222,0.0711011699386446,279.611650485437
"8","RawScanners","FEL2208",1389,1933,910.607354,133.100092,0.18932,1.047269,1332.430508,50.379314,650.501847,1.467,578.361689,283.866481,42.689712,5.350805,0.338667,0,0,0,0,84.17867,93.252267,24.515646,4.409278,0.34808,0,0,0,0,264.85137,293.543308,77.161488,13.852154,1.093527,0,0,0,0,10.800262,25.199752,11.223875,2.874421,0.281003,0,0,0,0,0.22313,2.122759,90.8789774451098,0.198891156001052,385.384615384615
"9","RawScanners","FFY6725",2739,3985,2087.585739,328.300419,0.169333,1.151591,3081.002802,148.24241,1604.509008,3.336,1334.504826,520.687385,194.959166,35.739266,1.695096,0,0,0,0,188.847567,171.588826,118.738805,29.126119,1.816179,0,0,0,0,593.896087,539.881308,373.523517,91.502402,5.705694,0,0,0,0,23.668955,46.626229,57.676864,18.738737,1.531625,0,0,0,0,0.238948,1.908904,104.37928695,0.134914158505653,249.687890137328
"10","RawScanners","FGG8281",2251,3307,1866.129859,312.013713,0.18932,1.203339,2675.436091,158.288901,1567.871022,2.228,1077.401912,551.042538,176.650748,54.559637,6.475024,0,0,0,0,152.589347,187.536295,105.48214,45.871502,6.739999,0,0,0,0,479.740912,590.160565,332.170786,144.109572,21.689187,0,0,0,0,19.038281,52.569075,50.375518,30.50888,5.797145,0,0,0,0,0.26257,1.772117,74.7049583266613,0.157812707285143,332.18085106383
