id,date,aspect,site_id,elevation_m_asl,plot_id,variable,value
FGT3613,2023-12-16,west,1,2000,1,tc_perc,4.5
FGT3613,2023-12-16,west,1,2000,1,tn_perc,0.26
FGT3613,2023-12-16,west,1,2000,1,tp_mg_kg,153
FGT3613,2023-12-16,west,1,2000,1,cec_cmol_kg,12.68
FGT3613,2023-12-16,west,1,2000,1,ph,4.1
FGT3613,2023-12-16,west,1,2000,1,clay_perc,14.8
FGT3613,2023-12-16,west,1,2000,1,sand_perc,61.2
FGT3613,2023-12-16,west,1,2000,1,silt_perc,24
FIT6656,2023-12-16,west,1,2000,2,tc_perc,3.98
FIT6656,2023-12-16,west,1,2000,2,tn_perc,0.23
FIT6656,2023-12-16,west,1,2000,2,tp_mg_kg,131
FIT6656,2023-12-16,west,1,2000,2,cec_cmol_kg,10.82
FIT6656,2023-12-16,west,1,2000,2,ph,4.1
FIT6656,2023-12-16,west,1,2000,2,clay_perc,24.8
FIT6656,2023-12-16,west,1,2000,2,sand_perc,55.2
FIT6656,2023-12-16,west,1,2000,2,silt_perc,20
FHZ4928,2023-12-16,west,1,2000,3,tc_perc,3.85
FHZ4928,2023-12-16,west,1,2000,3,tn_perc,0.22
FHZ4928,2023-12-16,west,1,2000,3,tp_mg_kg,148
FHZ4928,2023-12-16,west,1,2000,3,cec_cmol_kg,10.03
FHZ4928,2023-12-16,west,1,2000,3,ph,4.1
FHZ4928,2023-12-16,west,1,2000,3,clay_perc,24.8
FHZ4928,2023-12-16,west,1,2000,3,sand_perc,61.2
FHZ4928,2023-12-16,west,1,2000,3,silt_perc,14
FHV0691,2023-12-16,west,1,2000,4,tc_perc,4.09
FHV0691,2023-12-16,west,1,2000,4,tn_perc,0.24
FHV0691,2023-12-16,west,1,2000,4,tp_mg_kg,135
FHV0691,2023-12-16,west,1,2000,4,cec_cmol_kg,11.74
FHV0691,2023-12-16,west,1,2000,4,ph,4.1
FHV0691,2023-12-16,west,1,2000,4,clay_perc,24.8
FHV0691,2023-12-16,west,1,2000,4,sand_perc,63.2
FHV0691,2023-12-16,west,1,2000,4,silt_perc,12
FHR1925,2023-12-16,west,1,2000,5,tc_perc,3.76
