SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 0.00, 0.02, 15.8, 179
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 0.01, 0.12, 3.3, 543
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 0.18, 0.10, 1.7, 173
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 0.29, 0.08, 2.5, 221
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 0.40, 0.04, 12.2, 851
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 0.48, 0.08, 2.9, 1094
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 0.97, 0.04, 42.0, 1573
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 1.09, 0.06, 16.0, 1508
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 1.21, 0.05, 2.9, 210
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 1.28, 0.08, 5.5, 1142
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 1.36, 0.05, 2.9, 547
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 1.43, 0.10, 2.0, 486
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 1.62, 0.09, 2.4, 583
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 1.71, 0.13, 1.4, 311
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 1.95, 0.07, 3.7, 1148
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 1.99, 0.13, 2.4, 445
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 2.19, 0.12, 2.8, 1472
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 2.29, 0.13, 4.5, 585
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 2.67, 0.07, 6.1, 1225
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 2.80, 0.06, 3.0, 497
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 3.00, 0.13, 1.3, 196
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 3.16, 0.09, 1.5, 139
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 3.56, 0.09, 1.8, 311
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 3.67, 0.08, 5.1, 1042
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 3.95, 0.06, 6.1, 1163
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 4.18, 0.08, 5.7, 1872
ROOT_PFTC7_SITE2_(nogp)_0004, , DETECT, 4.26, 0.09, 1.7, 378
