SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 0.00, 0.04, 2.6, 99
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 0.09, 0.06, 24.8, 3706
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 0.36, 0.09, 1.3, 175
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 0.68, 0.08, 9.1, 2469
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 1.01, 0.05, 7.1, 4480
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 1.26, 0.10, 1.6, 675
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 1.46, 0.10, 1.4, 253
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 1.57, 0.02, 55.1, 5331
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 1.83, 0.08, 8.1, 3333
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 2.03, 0.07, 6.0, 1919
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 2.11, 0.03, 21.3, 1870
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 2.38, 0.07, 5.6, 1970
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 2.53, 0.06, 33.5, 5653
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 2.68, 0.11, 2.0, 721
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 2.82, 0.08, 3.2, 759
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 2.91, 0.07, 1.3, 275
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 3.09, 0.05, 2.8, 432
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 3.19, 0.06, 5.5, 738
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 3.25, 0.09, 1.6, 212
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 3.38, 0.02, 12.9, 1549
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 3.55, 0.07, 4.6, 2870
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 3.78, 0.06, 4.9, 959
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 3.94, 0.06, 2.8, 420
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 4.07, 0.07, 2.4, 300
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 4.18, 0.05, 1.9, 284
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 4.51, 0.02, 44.5, 4228
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 4.54, 0.08, 2.0, 608
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 4.72, 0.03, 32.6, 2289
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 4.90, 0.11, 1.5, 594
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 4.96, 0.04, 8.2, 2434
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 5.11, 0.10, 3.3, 1713
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 5.32, 0.07, 13.7, 4339
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 5.44, 0.08, 4.8, 1778
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 5.72, 0.10, 1.1, 225
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 5.80, 0.06, 3.0, 698
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 5.93, 0.12, 1.5, 2215
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 6.12, 0.08, 2.2, 599
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 6.36, 0.12, 2.0, 655
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 6.52, 0.06, 10.1, 5097
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 6.74, 0.06, 2.7, 860
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 6.79, 0.09, 1.5, 318
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 6.84, 0.01, 18.8, 1881
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 6.93, 0.03, 8.0, 789
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 6.98, 0.06, 1.8, 440
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 7.06, 0.09, 1.5, 419
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 7.12, 0.03, 7.6, 801
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 7.24, 0.08, 1.9, 1148
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 7.41, 0.08, 3.3, 1697
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 7.51, 0.06, 3.5, 1491
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 7.66, 0.06, 4.9, 1373
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 7.90, 0.05, 8.5, 774
ROOT_PFTC_SITE4_(nogp)_0005, , DETECT, 8.01, 0.04, 4.5, 1246
