SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 0.01, 0.06, 18.7, 1124
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 0.20, 0.04, 11.3, 1097
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 0.32, 0.05, 1.7, 560
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 0.59, 0.06, 2.3, 692
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 0.75, 0.05, 16.5, 1686
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 0.94, 0.07, 2.7, 1042
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 1.06, 0.05, 3.7, 518
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 1.23, 0.05, 20.1, 2167
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 1.34, 0.07, 3.1, 759
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 1.46, 0.08, 5.2, 2253
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 1.55, 0.05, 2.0, 216
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 1.66, 0.08, 3.0, 715
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 1.79, 0.06, 24.0, 1997
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 1.90, 0.02, 11.5, 731
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 1.97, 0.06, 2.1, 528
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 2.04, 0.03, 6.6, 995
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 2.07, 0.09, 1.2, 146
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 2.10, 0.05, 2.2, 542
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 2.34, 0.05, 1.9, 706
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 2.46, 0.09, 1.4, 338
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 2.74, 0.07, 4.7, 1586
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 3.00, 0.07, 3.3, 1243
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 3.17, 0.06, 4.4, 1376
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 3.37, 0.04, 36.5, 3255
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 3.59, 0.05, 4.1, 828
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 3.72, 0.03, 27.7, 1765
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 3.87, 0.10, 2.9, 1130
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 3.97, 0.03, 5.7, 1004
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 4.11, 0.08, 1.8, 305
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 4.27, 0.07, 3.3, 1569
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 4.39, 0.04, 6.9, 720
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 4.52, 0.05, 3.9, 536
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 4.66, 0.05, 3.6, 495
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 4.79, 0.08, 2.8, 813
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 4.88, 0.02, 28.5, 1606
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 4.96, 0.09, 2.2, 424
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 5.13, 0.09, 1.4, 211
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 5.16, 0.04, 5.0, 1937
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 5.21, 0.08, 1.9, 402
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 5.43, 0.08, 3.6, 800
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 5.67, 0.04, 7.9, 1505
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 5.78, 0.06, 3.8, 916
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 5.89, 0.08, 1.5, 174
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 6.08, 0.06, 4.2, 946
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 6.21, 0.08, 4.7, 669
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 6.31, 0.06, 13.5, 1852
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 6.51, 0.07, 1.5, 223
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 6.63, 0.05, 2.7, 705
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 6.75, 0.06, 4.3, 2468
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 6.83, 0.11, 1.4, 396
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 7.07, 0.11, 1.6, 377
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 7.14, 0.03, 7.0, 631
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 7.20, 0.02, 2.9, 378
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 7.31, 0.09, 2.3, 738
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 7.34, 0.03, 1.8, 176
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 7.61, 0.04, 8.8, 1761
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 7.84, 0.07, 3.8, 1622
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 7.90, 0.12, 1.5, 267
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 7.98, 0.05, 5.9, 3125
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 8.26, 0.09, 5.0, 1537
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 8.37, 0.08, 1.4, 206
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 8.55, 0.07, 4.8, 1894
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 8.64, 0.10, 2.5, 435
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 8.80, 0.08, 2.7, 1360
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 8.89, 0.05, 3.3, 171
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 8.96, 0.06, 2.7, 1986
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 9.14, 0.08, 2.5, 621
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 9.43, 0.05, 3.6, 679
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 9.66, 0.06, 6.6, 2088
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 9.77, 0.08, 2.0, 278
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 10.04, 0.06, 3.0, 486
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 10.13, 0.10, 1.6, 334
site4-2-ROOT_PFTC_SITE4_(nogp)_0004, , DETECT, 10.14, 0.04, 5.5, 1562
