BlockNo,LabNO,Depth_cm,Total_P,pH,Stone,C,TN,CEC,Clay,Silt,Sand,Classification
1_W_1 FGT 3613,SL23-26424,0-10,153,4.1,2.31,4.50,0.26,12.68,14.8,24.0,61.2,FINE SANDY LOAM
1_W_2 FIT 6656,SL23-26425,0-10,131,4.1,1.94,3.98,0.23,10.82,24.8,20.0,55.2,SANDY CLAY LOAM
1_W_3 FHZ 4928,SL23-26426,0-10,148,4.1,4.32,3.85,0.22,10.03,24.8,14.0,61.2,SANDY CLAY LOAM
1_W_4 FHV 0691,SL23-26427,0-10,135,4.1,1.19,4.09,0.24,11.74,24.8,12.0,63.2,SANDY CLAY LOAM
1_W_5 FHR 1925,SL23-26428,0-10,141,4.2,4.22,3.76,0.21,13.13,26.8,24.0,49.2,SANDY CLAY LOAM
2_W_1 FHG 1682,SL23-26429,0-10,150,4.2,3.61,8.07,0.50,19.33,10.8,8.0,81.2,LOAMY FINE SAND
2_W_2 FHC 0959,SL23-26430,0-10,119,4.0,3.62,6.89,0.43,13.85,14.8,10.0,75.2,FINE SANDY LOAM
2_W_3 FGY 8287,SL23-26431,0-10,115,4.0,2.06,7.51,0.39,18.44,14.8,22.0,63.2,FINE SANDY LOAM
2_W_4 FGU 3149,SL23-26432,0-10,118,4.2,1.97,4.64,0.25,21.54,14.8,16.0,69.2,FINE SANDY LOAM
2_W_5 FGQ 3631,SL23-26433,0-10,103,4.1,3.35,4.74,0.28,15.40,14.8,12.0,73.2,FINE SANDY LOAM
3_W_1 FGR 7279,SL23-26434,0-10,171,4.2,5.81,9.36,0.48,12.67,14.8,12.0,73.2,FINE SANDY LOAM
3_W_2 FGS 6762,SL23-26435,0-10,176,4.2,8.29,10.68,0.56,12.10,10.8,6.0,83.2,LOAMY FINE SAND
3_W_3 FGW 2994,SL23-26436,0-10,150,4.3,5.88,11.36,0.60,10.08,10.8,4.0,85.2,LOAMY FINE SAND
3_W_4 FHA 4257,SL23-26437,0-10,126,4.4,6.61,9.63,0.53,12.19,8.8,10.0,81.2,LOAMY FINE SAND
3_W_5 FHE 3835,SL23-26438,0-10,172,4.2,7.44,9.12,0.51,14.18,8.8,6.0,85.2,LOAMY FINE SAND
4_W_1 FHW 2447,SL23-26439,0-10,148,4.4,2.76,7.15,0.38,10.86,10.8,10.0,79.2,FINE SANDY LOAM
4_W_2 FHS 6299,SL23-26440,0-10,158,4.5,4.97,7.92,0.44,NA,14.8,8.0,77.2,FINE SANDY LOAM
4_W_3 FHX 4692,SL23-26441,0-10,173,4.4,7.53,6.38,0.37,11.04,10.8,6.0,83.2,LOAMY FINE SAND
4_W_4 FHT 3834,SL23-26442,0-10,152,4.4,4.13,8.11,0.45,11.67,10.8,8.0,81.2,LOAMY FINE SAND
4_W_5 FHO 7443,SL23-26443,0-10,157,4.3,10.71,6.87,0.37,11.32,8.8,10.0,81.2,LOAMY FINE SAND
5_W_1 FIH 0177,SL23-26444,0-10,269,4.5,1.79,12.38,0.61,NA,14.8,6.0,79.2,FINE SANDY LOAM
5_W_2 FIL 5660,SL23-26445,0-10,273,4.4,4.31,8.61,0.46,13.57,8.8,10.0,81.2,LOAMY FINE SAND
5_W_3 FIK 0027,SL23-26446,0-10,210,4.5,9.98,7.25,0.38,12.59,14.8,6.0,79.2,FINE SANDY LOAM
5_W_4 FIG 7497,SL23-26447,0-10,217,4.7,14.65,9.02,0.51,14.46,14.8,6.0,79.2,FINE SANDY LOAM
5_W_5 FIF 5971,SL23-26448,0-10,290,5.0,19.11,5.86,0.36,13.86,10.8,4.0,85.2,LOAMY FINE SAND
1_E_1 FHN 7281,SL23-26450,0-10,90.5,4.1,0.93,3.05,0.18,6.99,10.8,10.0,79.2,FINE SANDY LOAM
1_E_2 FHJ 1973,SL23-26451,0-10,100,4.1,0.93,3.50,0.19,7.70,14.8,10.0,75.2,FINE SANDY LOAM
1_E_3 FHF 4744,SL23-26452,0-10,89.5,4.1,0.93,2.88,0.18,5.03,14.8,8.0,77.2,FINE SANDY LOAM
1_E_4 FHB 0101,SL23-26453,0-10,93.2,4.1,0.93,3.49,0.19,6.31,8.8,12.0,79.2,LOAMY FINE SAND
1_E_5 FGZ 2089,SL23-26454,0-10,77.1,4.1,0.93,2.58,0.16,5.24,14.8,8.0,77.2,FINE SANDY LOAM
2_E_1 FHL 1720,SL23-26455,0-10,151,4.0,0.93,7.76,0.43,17.60,14.8,14.0,71.2,FINE SANDY LOAM
2_E_2 FHH 2767,SL23-26456,0-10,162,4.1,1.06,8.29,0.46,20.40,14.8,8.0,77.2,FINE SANDY LOAM
2_E_3 FHD 4904,SL23-26457,0-10,170,4.2,0.93,9.32,0.48,25.90,14.8,16.0,69.2,FINE SANDY LOAM
2_E_4 FGZ 1537,SL23-26458,0-10,137,4.0,0.93,8.48,0.46,18.59,14.8,20.0,65.2,FINE SANDY LOAM
2_E_5 FGV 5701,SL23-26459,0-10,163,4.0,1.04,9.62,0.50,20.59,14.8,14.0,71.2,FINE SANDY LOAM
3_E_1 FHI 9597,SL23-26460,0-10,207,4.6,9.26,8.78,0.51,15.40,10.8,4.0,85.2,LOAMY FINE SAND
3_E_2 FHM 1175,SL23-26461,0-10,231,4.6,6.01,10.79,0.59,17.60,6.8,4.0,89.2,FINE SAND
3_E_3 FIM 5782,SL23-26462,0-10,266,4.6,9.97,10.83,0.63,12.41,4.8,4.0,91.2,FINE SAND
3_E_4 FIQ 4291,SL23-26463,0-10,200,4.6,9.78,10.63,0.62,NA,14.8,10.0,75.2,FINE SANDY LOAM
3_E_5 FIU 7183,SL23-26464,0-10,173,4.7,10.09,9.94,0.55,NA,6.8,4.0,89.2,FINE SAND
4_E_1 FHP 3088,SL23-26465,0-10,184,4.7,5.08,8.90,0.54,13.70,14.8,6.0,79.2,FINE SANDY LOAM
4_E_2 FHY 0288,SL23-26466,0-10,215,4.7,4.64,9.92,0.56,NA,4.8,4.0,91.2,FINE SAND
4_E_3 FHU 3244,SL23-26467,0-10,215,4.6,5.50,11.86,0.66,12.50,10.8,8.0,81.2,LOAMY FINE SAND
4_E_4 FHX 3082,SL23-26468,0-10,210,4.7,3.61,10.63,0.57,13.96,14.8,6.0,79.2,FINE SANDY LOAM
4_E_5 FHK 1788,SL23-26469,0-10,213,4.8,5.81,9.77,0.58,15.48,8.8,10.0,81.2,LOAMY FINE SAND
5_E_1 FII 0704,SL23-26470,0-10,268,4.5,11.96,10.63,0.61,14.38,10.8,8.0,81.2,LOAMY FINE SAND
5_E_2 FIJ 0297,SL23-26471,0-10,289,4.6,6.14,9.20,0.54,14.30,14.8,6.0,79.2,FINE SANDY LOAM
5_E_3 FIE 8027,SL23-26472,0-10,219,4.5,5.25,10.73,0.59,11.60,14.8,12.0,73.2,FINE SANDY LOAM
5_E_4 FIA 2242,SL23-26473,0-10,197,4.6,10.36,8.24,0.44,11.20,4.8,24.0,71.2,FINE SANDY LOAM
5_E_5 FIB 5031,SL23-26474,0-10,213,4.7,10.05,9.41,0.52,13.28,8.8,6.0,85.2,LOAMY FINE SAND
5_EXTRA FIC 9697,SL23-26449,0-10,202,4.9,16.10,6.56,0.41,NA,8.8,10.0,81.2,LOAMY FINE SAND
