"","Group","elevation","AverageRD","MedianRD","MaxRD"
"1","RP",2200,0.2628,0.239473,1.06087
"2","RP",2200,0.308655,0.254,1.176227
"3","RP",2200,0.291187,0.254,1.100667
"4","RP",2200,0.31962,0.26774,1.151591
"5","RP",2200,0.23528,0.239473,0.757282
"6","RP",2600,0.26147,0.239473,1.31438
"7","RP",2600,0.324198,0.254,1.113616
"8","RP",2600,0.256532,0.239473,1.030014
"9","RP",2600,0.252074,0.239473,1.135923
"10","RP",2600,0.282291,0.239473,1.100667
"11","RP",2400,0.303046,0.254,1.338698
"12","RP",2400,0.232929,0.18932,0.931333
"13","RP",2400,0.357461,0.26774,1.745448
"14","RP",2400,0.237315,0.18932,1.023031
"15","RP",2400,0.326287,0.239473,1.338698
"16","RP",2800,0.268667,0.239473,1.016
"17","RP",2800,0.268579,0.239473,1.06087
"18","RP",2800,0.319616,0.26774,1.25866
"19","RP",2800,0.292568,0.254,1.590742
"20","RP",2800,0.275563,0.254,1.084262
"21","RP",2600,0.246384,0.239473,0.911888
"22","RP",2600,0.294943,0.254,1.176227
"23","RP",2600,0.300633,0.254,1.047269
"24","RP",2600,0.29742,0.26774,0.863434
"25","RP",2600,0.24857,0.239473,1.52635
"26","RP",2400,0.35809,0.254,1.643929
"27","RP",2400,0.326106,0.26774,1.581704
"28","RP",2400,0.293245,0.254,1.103918
"29","RP",2400,0.319302,0.254,1.401483
"30","RP",2400,0.298348,0.254,1.185333
"31","RP",2200,0.292101,0.254,1.023031
"32","RP",2200,0.255678,0.239473,0.990998
"33","RP",2200,0.252332,0.239473,0.871697
"34","RP",2200,0.261556,0.254,1.325243
"35","RP",2200,0.235171,0.239473,1.033488
"36","RP",2200,0.275913,0.239473,1.401483
"37","RP",2200,0.262245,0.239473,0.803218
"38","RP",2200,0.323119,0.26774,1.030014
"39","RP",2200,0.305654,0.26774,1.06087
"40","RP",2200,0.360265,0.30527,2.143589
"41","RP",2800,0.272041,0.239473,0.846667
"42","RP",2800,0.235311,0.239473,0.838157
"43","RP",2800,0.29752,0.254,0.965349
"44","RP",2800,0.297983,0.254,1.295151
"45","RP",2800,0.231434,0.239473,0.682604
"46","RP",2600,0.277841,0.254,0.838157
"47","RP",2600,0.326452,0.254,1.135923
"48","RP",2600,0.255907,0.239473,0.598684
"49","RP",2600,0.272705,0.254,0.957894
"50","RP",2600,0.277355,0.254,0.846667
"51","RP",2400,0.263661,0.239473,0.987374
"52","RP",2400,0.215222,0.18932,0.423333
"53","RP",2400,0.30989,0.254,1.033488
"54","RP",2400,0.272763,0.239473,1.151591
"55","RP",2400,0.239963,0.18932,0.850889
"56","RP",2200,0.34838,0.30527,0.946602
"57","RP",2200,0.230123,0.18932,1.100667
"58","RP",2200,0.309084,0.254,1.084262
