barcode,date,elevation,siteID,aspect,project,sp,plantID,leafID,height,root_depth,grazing,fire,resprout,no_root_scan,root_wet_mass_g,no_tuber_scan,tuber_wet_mass_g,no_leaf,leaf_wet_mass_g,leaf_thick_1_mm,leaf_thick_2_mm,leaf_thick_3_mm,notes,drying_status,root_dry_mass,tuber_dry_mass,BGB,leaf_dry_mass,AGB
FCF2601,06/12/2023,2200,2,W,R,SG,1,46.7,16,17.5,N,Y,Y,5,0.0284,5,1.5751,1,0.9725,0.823,0.755,0.69,,SfD11,0.0046,0.3839,1.4435,0.142,1.7437
FCB1397,06/12/2023,2200,2,W,R,SG,2,36,14,10,N,Y,N,5,0.0047,3,0.9622,1,0.7798,0.487,0.473,0.493,,SfD11,0.0016,0.2751,0.824,0.1434,0.6991
FCJ1591,06/12/2023,2200,2,W,R,SG,3,21.5,17.2,13.7,N,Y,Y,5,0.0249,3,0.3529,1,1.3984,0.706,0.706,0.625,,SfD11,0.0076,0.1016,0.7639,0.2766,0.6535
FCN7125,06/12/2023,2200,2,W,R,SG,4,37.2,19.8,10,N,Y,Y,4,0.0537,4,0.1616,1,0.9094,0.632,0.624,0.627,,SfD11,0.0155,0.0572,0.6067,0.1676,0.8331
FCU3875,06/12/2023,2200,2,W,R,SG,5,27.4,15.6,8,Y,Y,Y,5,0.072,3,0.1772,1,0.5447,0.646,0.659,0.921,,SfD11,0.0218,0.0488,0.6642,0.1179,0.5438
FBT2327,06/12/2023,2200,2,W,R,HPA,1,22.5,11.5,10.2,N,Y,N,5,0.0466,5,0.4185,1,1.1152,1.158,1.015,0.993,,SfD11,0.0162,0.1136,9.9346,0.2338,5.3339
FBX4690,06/12/2023,2200,2,W,R,HPA,2,19,15.5,16.5,N,Y,N,5,0.043,5,1.1321,1,1.2497,1.1,1.183,1.141,,SfD11,0.0146,0.239,13.0148,0.2566,5.6481
FCR0255,06/12/2023,2200,2,W,R,HPA,3,9.1,10,9,N,Y,N,4,0.0088,5,0.8201,1,1.5822,1.096,1.168,1.48,,SfD11,0.0032,0.183,6.0972,0.2741,2.7975
FCV8597,06/12/2023,2200,2,W,R,HPA,4,27.5,7.5,15,N,Y,N,5,0.0498,5,0.5776,1,0.8705,1.039,1.142,1.105,,SfD11,0.0185,0.1581,5.0549,0.1887,1.8183
FCQ4012,06/12/2023,2200,2,W,R,HPA,5,19.5,7.5,9,N,Y,,5,0.0997,5,0.7861,1,1.0034,1.037,1.351,1.308,,SfD11,0.0482,0.2234,10.9958,0.2235,2.5699
FBS3237,05/12/2023,2200,2,W,R,TT,1,25.9,18.2,13.5,N,Y,,4,0.0329,NA,NA,5,0.1568,0.144,0.134,0.153,,SfD11,0.0146,NA,11.4131,0.0579,6.4638
FCM1008,05/12/2023,2200,2,W,R,TT,2,25.8,15.5,14.8,N,Y,,5,0.0777,NA,NA,5,0.1016,0.178,0.133,0.12,,SfD11,0.0322,NA,3.775,0.0353,3.049
FBK1070,05/12/2023,2200,2,W,R,TT,3,17.2,19.2,16.6,N,Y,,5,0.0643,NA,NA,5,0.0687,0.117,0.123,0.123,,SfD11,0.0285,NA,2.7946,0.0315,2.6789
FBO8536,05/12/2023,2200,2,W,R,TT,4,21.1,18.3,18.2,Y,Y,,5,0.07,NA,NA,5,0.2021,0.141,0.136,0.129,,SfD11,0.0297,NA,5.648,0.0742,3.0583
FBG3400,05/12/2023,2200,2,W,R,TT,5,18.5,15,11.7,N,Y,,3,0.0632,NA,NA,5,0.0982,0.115,0.117,0.107,,SfD11,0.0266,NA,0.9894,0.0367,2.9319
FCI1638,05/12/2023,2200,2,W,R,EC,1,29.4,5.8,13.1,Y,Y,,5,0.0178,NA,NA,5,0.1573,0.213,0.226,0.364,,SfD11,0.0141,NA,1.555,0.0471,0.5168
FBW8179,05/12/2023,2200,2,W,R,EC,2,23.4,13.7,13,Y,Y,,5,0.1044,NA,NA,5,0.1289,0.135,0.224,0.158,,SfD11,0.0313,NA,6.7268,0.0459,2.7015
FBC0289,05/12/2023,2200,2,W,R,EC,3,32.8,15,16,N,Y,,5,0.0527,NA,NA,5,0.193,0.177,0.188,0.197,,SfD11,0.0183,NA,8.5422,0.0663,0.5919
FCE1581,05/12/2023,2200,2,W,R,EC,4,25.2,8,14,Y,Y,,5,0.476,NA,NA,5,0.189,0.189,0.154,0.15,,SfD11,0.0178,NA,2.8118,0.336,1.4272
FCA5827,05/12/2023,2200,2,W,R,EC,5,31.9,6.8,12.1,N,Y,,4,0.03,NA,NA,5,0.288,0.314,0.31,0.286,,SfD11,0.0139,NA,2.5881,0.0938,0.9659
FBD8952,08/12/2023,2800,5,NW,R,SG,1,34,27,12.7,,Y,Y,5,0.0496,5,0.598,1,0.369,0.644,0.547,0.684,,SfD14,,,,,
FBP4231,08/12/2023,2800,5,NW,R,SG,2,23.9,9.7,20.1,,Y,Y,5,0.0853,5,0.8063,1,1.3087,0.752,0.773,0.433,,SfD14,,,,,
