id,date,aspect,site_id,elevation_m_asl,plant_id,species,traits,value,unit
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,root_depth,16,cm
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,no_root_scan,5,count
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,root_wet_mass,0.0527,g
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,root_dry_mass,0.0183,g
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,total_root_length,1185.77074,cm
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,total_root_volume,96.305368,mm3
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,rd,0.291187,mm
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,bi,0.45034,count mm-1
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,srl,64.79621530054645,m g-1
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,rtd,0.19002056043231152,g cm-3
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,rdmc,347.24857685009493,mg g-1
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,tuber_wet_mass,NA,g
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,tuber_dry_mass,NA,g
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,reproductive_height,32.8,cm
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,veg_height,15,cm
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,no_leaves,5,NA
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,leaf_wet_mass,0.193,g
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,leaf_dry_mass,0.0663,g
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,leaf_area,10.324,cm2
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,sla,155.7164404223228,cm2 g-1
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,leaf_thickness,0.18733333333333332,mm
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,ldmc,0.3435233160621761,g g-1
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,bgb_agb,14.431829700963,g g-1
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,aboveground_biomass,0.5919,g
FBC0289,12/05/2023,west,2,2200,3,Eragrostis capensis,belowground_biomass,8.5422,g
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,root_depth,12.7,cm
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,no_root_scan,5,count
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,root_wet_mass,0.0496,g
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,root_dry_mass,0.01543,g
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,total_root_length,765.949089,cm
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,total_root_volume,59.193603,mm3
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,rd,0.277175,mm
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,bi,0.261114,count mm-1
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,srl,49.640252041477645,m g-1
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,rtd,0.26067005922920417,g cm-3
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,rdmc,311.0887096774194,mg g-1
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,tuber_wet_mass,0.598,g
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,tuber_dry_mass,0.18462,g
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,reproductive_height,34,cm
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,veg_height,27,cm
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,no_leaves,1,NA
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,leaf_wet_mass,0.369,g
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,leaf_dry_mass,0.4487,g
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,leaf_area,6.056,cm2
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,sla,13.496768442166259,cm2 g-1
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,leaf_thickness,0.625,mm
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,ldmc,1.2159891598915988,g g-1
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,bgb_agb,2.6828193832599116,g g-1
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,aboveground_biomass,2.27,g
FBD8952,12/08/2023,northwest,5,2800,1,Senecio glaberrimus,belowground_biomass,6.09,g
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,root_depth,18.5,cm
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,no_root_scan,4,count
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,root_wet_mass,0.0274,g
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,root_dry_mass,0.00644,g
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,total_root_length,583.687821,cm
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,total_root_volume,32.369208,mm3
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,rd,0.24752,mm
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,bi,0.476282,count mm-1
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,srl,90.6347548136646,m g-1
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,rtd,0.19895451257256586,g cm-3
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,rdmc,235.03649635036498,mg g-1
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,tuber_wet_mass,0.5807,g
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,tuber_dry_mass,0.18633,g
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,reproductive_height,36,cm
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,veg_height,18.4,cm
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,no_leaves,1,NA
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,leaf_wet_mass,1.0045,g
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,leaf_dry_mass,0.19982,g
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,leaf_area,19.036,cm2
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,sla,95.26573916524873,cm2 g-1
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,leaf_thickness,0.535,mm
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,ldmc,0.19892483822797413,g g-1
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,bgb_agb,0.7752808988764044,g g-1
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,aboveground_biomass,0.89,g
FBE2394,12/09/2023,west,3,2400,3,Senecio glaberrimus,belowground_biomass,0.69,g
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,root_depth,28.8,cm
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,no_root_scan,5,count
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,root_wet_mass,0.122,g
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,root_dry_mass,0.04337,g
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,total_root_length,2383.898058,cm
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,total_root_volume,231.779959,mm3
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,rd,0.310761,mm
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,bi,0.445908,count mm-1
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,srl,54.966521973714556,m g-1
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,rtd,0.18711712689534127,g cm-3
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,rdmc,355.4918032786885,mg g-1
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,tuber_wet_mass,NA,g
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,tuber_dry_mass,NA,g
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,reproductive_height,NA,cm
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,veg_height,12,cm
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,no_leaves,5,NA
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,leaf_wet_mass,0.0868,g
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,leaf_dry_mass,0.03033,g
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,leaf_area,6.109,cm2
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,sla,201.41773821299043,cm2 g-1
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,leaf_thickness,0.151,mm
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,ldmc,0.34942396313364055,g g-1
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,bgb_agb,2.1824212271973464,g g-1
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,aboveground_biomass,12.06,g
FBF4179,12/08/2023,northwest,5,2800,2,Themeda triandra,belowground_biomass,26.32,g
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,root_depth,11.7,cm
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,no_root_scan,3,count
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,root_wet_mass,0.0632,g
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,root_dry_mass,0.0266,g
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,total_root_length,641.165877,cm
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,total_root_volume,80.21192,mm3
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,rd,0.343326,mm
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,bi,0.583312,count mm-1
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,srl,24.103980338345867,m g-1
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,rtd,0.33162153455496385,g cm-3
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,rdmc,420.886075949367,mg g-1
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,tuber_wet_mass,NA,g
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,tuber_dry_mass,NA,g
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,reproductive_height,18.5,cm
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,veg_height,15,cm
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,no_leaves,5,NA
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,leaf_wet_mass,0.0982,g
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,leaf_dry_mass,0.0367,g
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,leaf_area,9.338,cm2
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,sla,254.44141689373294,cm2 g-1
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,leaf_thickness,0.113,mm
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,ldmc,0.3737270875763748,g g-1
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,bgb_agb,0.3374603499437225,g g-1
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,aboveground_biomass,2.9319,g
FBG3400,12/05/2023,west,2,2200,5,Themeda triandra,belowground_biomass,0.9894,g
FBH8238,12/08/2023,northwest,5,2800,5,Senecio glaberrimus,root_depth,21.4,cm
FBH8238,12/08/2023,northwest,5,2800,5,Senecio glaberrimus,no_root_scan,5,count
FBH8238,12/08/2023,northwest,5,2800,5,Senecio glaberrimus,root_wet_mass,0.0334,g
FBH8238,12/08/2023,northwest,5,2800,5,Senecio glaberrimus,root_dry_mass,0.00739,g
FBH8238,12/08/2023,northwest,5,2800,5,Senecio glaberrimus,total_root_length,990.2572,cm
FBH8238,12/08/2023,northwest,5,2800,5,Senecio glaberrimus,total_root_volume,44.169911,mm3
FBH8238,12/08/2023,northwest,5,2800,5,Senecio glaberrimus,rd,0.224573,mm
FBH8238,12/08/2023,northwest,5,2800,5,Senecio glaberrimus,bi,0.400906,count mm-1
FBH8238,12/08/2023,northwest,5,2800,5,Senecio glaberrimus,srl,133.9996211096076,m g-1
FBH8238,12/08/2023,northwest,5,2800,5,Senecio glaberrimus,rtd,0.16730846480537395,g cm-3
FBH8238,12/08/2023,northwest,5,2800,5,Senecio glaberrimus,rdmc,221.2574850299401,mg g-1
FBH8238,12/08/2023,northwest,5,2800,5,Senecio glaberrimus,tuber_wet_mass,0.5752,g
FBH8238,12/08/2023,northwest,5,2800,5,Senecio glaberrimus,tuber_dry_mass,0.19152,g
FBH8238,12/08/2023,northwest,5,2800,5,Senecio glaberrimus,reproductive_height,29.7,cm
