date,elevation_m_asl,site_id,aspect,scan_file,type,variable,value,unit
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,0.01,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.02,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,21.3,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,186,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,0.07,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.08,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.8,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,318,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,0.13,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.11,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.3,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,273,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,0.16,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.05,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,2.6,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,572,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,0.37,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.05,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,2.3,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,506,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,0.5,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.04,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,17.9,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,2257,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,0.59,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.11,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.6,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,653,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,0.68,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.05,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,2.2,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,348,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,0.77,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.09,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.8,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,427,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,0.79,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.03,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.7,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,157,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,0.91,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.06,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,3,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,1321,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,1.44,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.11,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,2.4,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,1172,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,1.61,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.13,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.1,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,220,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,1.86,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.07,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,4.7,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,1744,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,2.12,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.05,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,5.4,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,1065,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,2.35,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.07,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,4.4,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,733,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,2.51,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.11,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.3,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,184,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,2.7,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.03,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,10.4,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,1662,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,2.88,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.06,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,5.1,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,1639,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,3.21,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.07,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,2.7,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,1106,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,3.38,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.08,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.8,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,589,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,3.61,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.08,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,6.3,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,1268,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,4.12,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.08,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.7,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,900,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,4.88,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.06,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,2.6,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,661,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,5.15,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.12,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,187,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,5.19,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.07,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.3,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,170,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,5.36,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.1,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,0.9,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,129,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,5.53,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.02,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,12,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,1366,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,5.64,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.07,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,2.3,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,716,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,5.76,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.06,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,4,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,1096,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,5.99,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.08,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,2.5,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,652,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,6.21,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.04,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,5.2,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,842,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,6.39,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.07,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,2.8,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,566,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,6.56,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.05,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,22.3,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,4566,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,7.32,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.12,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.1,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,327,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,7.43,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.04,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,8,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,2800,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,7.45,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.1,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.6,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,324,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,7.53,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.13,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,3.3,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,1399,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,7.66,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.06,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,15.2,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,1552,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,7.77,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.15,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.6,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,549,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,7.86,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.05,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,18,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,1898,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,8.18,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.07,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.7,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,452,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,8.37,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.17,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,0.9,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,197,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,8.6,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.07,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.2,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,274,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,8.84,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.05,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,5.3,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,280,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,8.89,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.13,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.1,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,168,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,9.01,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.08,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,2.5,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,944,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,9.32,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.11,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.1,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,339,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,9.39,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.06,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,2.4,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,1066,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,9.54,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.16,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,197,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,9.61,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.08,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,2.8,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,880,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,9.81,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.09,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,1.1,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,318,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,9.9,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.13,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,0.8,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,150,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,9.96,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.15,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,0.8,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,184,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,10.09,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.1,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,2.9,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,622,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,10.3,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.1,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,0.9,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,196,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,10.39,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.05,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,4.9,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,1050,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,10.62,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.04,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,4.2,dB
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,pixel_count,489,count
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,position,10.81,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,depth,0.07,m
14/12/2023,2000,1,east,ROOT_PFTC7_SITE1_(nogp)_plot_e,detect,amplitude,2.2,dB
