id,date,aspect,site_id,elevation_m_asl,plot_id,variable,value,unit
FGT3613,2023-12-16,west,1,2000,1,tc,4.5,%
FGT3613,2023-12-16,west,1,2000,1,tn,0.26,%
FGT3613,2023-12-16,west,1,2000,1,tp,153,mg kg-1
FGT3613,2023-12-16,west,1,2000,1,cec,12.68,cmol kg-1
FGT3613,2023-12-16,west,1,2000,1,ph,4.1,NA
FGT3613,2023-12-16,west,1,2000,1,clay,14.8,%
FGT3613,2023-12-16,west,1,2000,1,sand,61.2,%
FGT3613,2023-12-16,west,1,2000,1,silt,24,%
FIT6656,2023-12-16,west,1,2000,2,tc,3.98,%
FIT6656,2023-12-16,west,1,2000,2,tn,0.23,%
FIT6656,2023-12-16,west,1,2000,2,tp,131,mg kg-1
FIT6656,2023-12-16,west,1,2000,2,cec,10.82,cmol kg-1
FIT6656,2023-12-16,west,1,2000,2,ph,4.1,NA
FIT6656,2023-12-16,west,1,2000,2,clay,24.8,%
FIT6656,2023-12-16,west,1,2000,2,sand,55.2,%
FIT6656,2023-12-16,west,1,2000,2,silt,20,%
FHZ4928,2023-12-16,west,1,2000,3,tc,3.85,%
FHZ4928,2023-12-16,west,1,2000,3,tn,0.22,%
FHZ4928,2023-12-16,west,1,2000,3,tp,148,mg kg-1
FHZ4928,2023-12-16,west,1,2000,3,cec,10.03,cmol kg-1
FHZ4928,2023-12-16,west,1,2000,3,ph,4.1,NA
FHZ4928,2023-12-16,west,1,2000,3,clay,24.8,%
FHZ4928,2023-12-16,west,1,2000,3,sand,61.2,%
FHZ4928,2023-12-16,west,1,2000,3,silt,14,%
FHV0691,2023-12-16,west,1,2000,4,tc,4.09,%
FHV0691,2023-12-16,west,1,2000,4,tn,0.24,%
FHV0691,2023-12-16,west,1,2000,4,tp,135,mg kg-1
FHV0691,2023-12-16,west,1,2000,4,cec,11.74,cmol kg-1
FHV0691,2023-12-16,west,1,2000,4,ph,4.1,NA
FHV0691,2023-12-16,west,1,2000,4,clay,24.8,%
FHV0691,2023-12-16,west,1,2000,4,sand,63.2,%
FHV0691,2023-12-16,west,1,2000,4,silt,12,%
FHR1925,2023-12-16,west,1,2000,5,tc,3.76,%
FHR1925,2023-12-16,west,1,2000,5,tn,0.21,%
FHR1925,2023-12-16,west,1,2000,5,tp,141,mg kg-1
FHR1925,2023-12-16,west,1,2000,5,cec,13.13,cmol kg-1
FHR1925,2023-12-16,west,1,2000,5,ph,4.2,NA
FHR1925,2023-12-16,west,1,2000,5,clay,26.8,%
FHR1925,2023-12-16,west,1,2000,5,sand,49.2,%
FHR1925,2023-12-16,west,1,2000,5,silt,24,%
FHG1682,2023-12-16,west,2,2200,1,tc,8.07,%
FHG1682,2023-12-16,west,2,2200,1,tn,0.5,%
FHG1682,2023-12-16,west,2,2200,1,tp,150,mg kg-1
FHG1682,2023-12-16,west,2,2200,1,cec,19.33,cmol kg-1
FHG1682,2023-12-16,west,2,2200,1,ph,4.2,NA
FHG1682,2023-12-16,west,2,2200,1,clay,10.8,%
FHG1682,2023-12-16,west,2,2200,1,sand,81.2,%
